City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,afaahiti,-17.75,-149.2833,303.08,80,69,5.76,PF,1699742915
285,karakecili,39.5942,33.3778,287.39,59,67,3.28,TR,1699742915
286,impfondo,1.6381,18.0667,294.73,99,96,0.33,CG,1699742915
287,crane,31.3974,-102.3501,287.88,67,78,3.42,US,1699742915
288,linxia chengguanzhen,35.6003,103.2064,270.78,48,71,0.84,CN,1699742802
289,geraldton,-28.7667,114.6,291.38,72,38,5.66,AU,1699742915
290,undurkhaan,47.3194,110.6556,254.72,91,5,1.97,MN,1699742916
291,migori,-1.0634,34.4731,291.36,89,99,2.06,KE,1699742916
292,wailua homesteads,22.0669,-159.378,300.59,75,40,7.72,US,1699742747
293,gadzhiyevo,69.2551,33.3362,265.67,95,88,3.0,RU,1699742642
294,sao jose da coroa grande,-8.8978,-35.1478,298.22,72,24,3.24,BR,1699742916
295,rongelap,11.1635,166.8941,300.69,82,92,7.46,MH,1699742917
296,plouzane,48.3833,-4.6167,287.18,91,100,10.8,FR,1699742917
297,puente-genil,37.3894,-4.7669,287.83,83,92,0.73,ES,1699742917
298,port douglas,-16.4833,145.4667,298.68,64,52,5.34,AU,1699742917
299,bogale,16.2833,95.4,297.32,93,96,2.55,MM,1699742917
300,woodmere,40.6321,-73.7126,283.69,53,20,6.26,US,1699742917
301,necochea,-38.5473,-58.7368,289.75,56,1,3.05,AR,1699742918
302,eyl,7.9803,49.8164,299.82,79,92,5.2,SO,1699742918
303,diebougou,10.9667,-3.25,299.19,66,52,1.57,BF,1699742918
304,williams lake,52.1415,-122.1445,282.91,31,75,5.14,CA,1699742918
305,priob'ye,62.5206,65.5964,273.72,96,100,1.82,RU,1699742919
306,hilo,19.7297,-155.09,300.0,79,100,2.06,US,1699742892
307,havelian,34.0536,73.1657,284.16,53,5,2.26,PK,1699742919
308,colonia,50.9333,6.95,278.94,86,75,2.06,DE,1699742819
309,qamdo,31.1667,97.2333,268.24,61,80,1.37,CN,1699742725
310,papao,-17.75,-149.55,303.97,76,60,5.56,PF,1699742920
311,kuloy,61.0305,42.4925,273.2,98,100,1.26,RU,1699742920
312,fort bragg,35.139,-79.006,284.72,84,100,2.57,US,1699742920
313,ta`u,-14.2336,-169.5144,300.76,80,36,4.05,AS,1699742920
314,qacha's nek,-30.1154,28.6894,286.05,80,74,2.3,LS,1699742921
315,jayapura,-2.5333,140.7,302.81,87,100,1.53,ID,1699742921
316,betio village,1.358,172.9211,300.17,84,100,5.95,KI,1699742921
317,newman,37.3138,-121.0208,295.5,32,57,1.34,US,1699742921
318,vila velha,-20.3297,-40.2925,299.23,87,0,4.12,BR,1699742734
319,haiku-pauwela,20.9219,-156.3051,302.16,55,40,10.29,US,1699742827
320,egilsstadir,65.2653,-14.3948,265.1,93,0,1.54,IS,1699742922
321,hermannsburg,52.8325,10.0896,280.89,100,99,2.06,DE,1699742922
